series,run,step,model,vae,latent_channels,latent_spatial,vae_scaling_factor,data_csv,img_root,char_embed_dim,callig_embed_dim,num_characters,dino,cond_mode,condition_fusion,sampler,use_skel,skel_root,w_skel,use_canny,w_canny,glyph_init_mix,w_glyph_cond,balance_callig_alpha,balance_char_alpha,lr,weight_decay,warmup_steps,max_steps,batch_size,ema_decay,lr_schedule,min_lr_ratio,resume,train_ctrl_only,main_ckpt,skel_cond_channels,cond_drop_struct_prob,eval_csv,eval_n,eval_steps,eval_cfg,eval_seed,mse,ssim,ssim_old_uniform,skel_iou,lpips,mse_base,ssim_base,mse_ctrl,ssim_ctrl,skel_iou_base,skel_iou_ctrl,lpips_base,lpips_ctrl,delta_ssim,delta_mse,delta_skel_iou,delta_lpips,src
ctrl_skel,20260823-085301-ctrl-skel-top30-scratch,25000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top30.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,2000,200000,112,0.9999,,0.05,,False,,1,0.1,,,,,,,,,,,2.742341985702515,0.03169432574844298,2.6184800624847413,0.029917701717931778,,,,,-0.0017766240305111987,-0.12386192321777356,,,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,25000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.22577367961406708,0.8143116698019597,0.5033210332103321,0.7010928961748634,0.22642190754413605,0.162703737616539,0.08508809314206411,-0.20822183549404144,0.1977718629645313,-0.06371816992759705,eval_auto
ctrl_skel,20260825-115527-ctrl-skel-s6-v2,27500,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,1500,30000,152,0.9999,,0.1,,True,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.4339955151081085,0.7292235766598956,0.22730383440852164,0.8135046490208873,0.5033210332103321,0.6975358786894124,0.22642190754413605,0.16308525204658508,0.0842810723609917,-0.20669168069958688,0.1942148454790803,-0.06333665549755096,eval_auto
ctrl_skel,20260823-085301-ctrl-skel-top30-scratch,30000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top30.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0001,0.01,2000,200000,112,0.9999,,0.05,,False,,1,0.1,,,,,,,,,,,1.852570457458496,0.11480193156516177,2.235326805114746,0.03598890804549835,,,,,-0.07881302351966343,0.3827563476562501,,,eval_auto
ctrl_skel,20260822-235734-ctrl-skel-3px,90000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0003,0.01,500,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.456840546131134,0.7215309551358224,0.26752178579568864,0.7717322352528574,,,,,0.05020128011703495,-0.18931876033544537,,,eval_auto
ctrl_skel,20260822-235734-ctrl-skel-3px,95000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0003,0.01,500,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.456840546131134,0.7215309551358224,0.2708408907055855,0.7676733632882434,,,,,0.04614240815242099,-0.18599965542554853,,,eval_auto
ctrl_skel,20260822-235734-ctrl-skel-3px,100000,DiT-2Cond-S/2,sd-vae-ft-ema,4,32,0.18215,5script/train_top6.csv,,256,128,35130,none,,factorized_add,,0,final_skeleton_d3,0,0,0,1.0,False,0,0,0.0003,0.01,500,100000,96,0.9999,,0.1,,,5script/results/s6_top6_diffonly/20260820-191536-s6-top6-diffonly-resume/checkpoints/0195000.pt,1,0.1,,,,,,,,,,,0.456840546131134,0.7215309551358224,0.2734396566450596,0.7643771973252298,,,,,0.04284624218940736,-0.18340088948607441,,,eval_auto
exp_s_5script,20260815-131017-DiT-3Cond-S-2,1000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,,,7026,none,3cond,,,False,final_skeleton,0.0,False,0.0,1.0,False,0,0,0.0001,0.01,,60,224,,,,,,,,,5script/fast100.csv,100,50,4.0,0,1.7352991008758545,0.3234141076037972,,,,,,,,,,,,,,,,eval_auto
exp_s_5script,20260815-131017-DiT-3Cond-S-2,2000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,,,7026,none,3cond,,,False,final_skeleton,0.0,False,0.0,1.0,False,0,0,0.0001,0.01,,60,224,,,,,,,,,5script/fast100.csv,100,50,4.0,0,1.4759584808349608,0.33110927545775987,,,,,,,,,,,,,,,,eval_auto
exp_s_5script,20260815-131017-DiT-3Cond-S-2,3000,DiT-3Cond-S/2,pretrained_models/sd-vae-ft-ema,4,32,0.18215,5script/train.csv,final_imgs_256,,,7026,none,3cond,,,False,final_skeleton,0.0,False,0.0,1.0,False,0,0,0.0001,0.01,,60,224,,,,,,,,,5script/fast100.csv,100,50,4.0,0,1.136107783317566,0.4519198978451703,,,,,,,,,,,,,,,,eval_auto
