idx,eval_char,eval_calligrapher,nn_ssim,nn_char,nn_calligrapher,nn_image_path
31,比,王铎,0.62635,比,智永,/root/Workspace/xy/DiT/data/50k/imgs/026725.png
32,执,赵之谦,0.61912,执,赵孟頫,/root/Workspace/xy/DiT/data/50k/imgs/049772.png
33,丹,王宠,0.70923,丹,蔡襄,/root/Workspace/xy/DiT/data/50k/imgs/000275.png
34,百,柳公权,0.66666,百,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/013133.png
35,谏,唐玄宗,0.62035,谏,王献之,/root/Workspace/xy/DiT/data/50k/imgs/037357.png
36,立,智永,0.65752,立,虞世南,/root/Workspace/xy/DiT/data/50k/imgs/014200.png
37,疏,赵之谦,0.57683,疏,唐寅,/root/Workspace/xy/DiT/data/50k/imgs/048452.png
38,牽,沈尹默,0.62115,牽,董其昌,/root/Workspace/xy/DiT/data/50k/imgs/012341.png
39,岡,欧阳询,0.47279,岡,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/047341.png
40,焉,金农,0.45283,焉,祝允明,/root/Workspace/xy/DiT/data/50k/imgs/039286.png
41,典,赵孟頫,0.55678,典,虞世南,/root/Workspace/xy/DiT/data/50k/imgs/022328.png
42,登,文徵明,0.63751,登,苏轼,/root/Workspace/xy/DiT/data/50k/imgs/040183.png
43,小,林散之,0.69302,小,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/005524.png
44,劑,于右任,,,,
45,雁,赵之谦,,,,
46,尋,何绍基,0.59486,尋,王献之,/root/Workspace/xy/DiT/data/50k/imgs/005493.png
47,天,李邕,0.67284,天,欧阳通,/root/Workspace/xy/DiT/data/50k/imgs/004410.png
48,岑,朱熹,0.55286,岑,颜真卿,/root/Workspace/xy/DiT/data/50k/imgs/023056.png
49,茟,金农,0.44936,茟,智永,/root/Workspace/xy/DiT/data/50k/imgs/034053.png
50,並,张旭,0.58494,並,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/035525.png
51,開,王羲之,0.50190,開,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/019764.png
52,夜,金农,0.48906,夜,金农,/root/Workspace/xy/DiT/data/50k/imgs/004368.png
53,适,启功,0.69926,适,柳公权,/root/Workspace/xy/DiT/data/50k/imgs/035472.png
54,兩,苏轼,0.57346,兩,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/001869.png
55,張,吴昌硕,0.59354,張,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/035918.png
56,书,赵孟頫,0.54950,书,鲜于枢,/root/Workspace/xy/DiT/data/50k/imgs/046859.png
57,句,黄庭坚,0.56486,句,何绍基,/root/Workspace/xy/DiT/data/50k/imgs/003115.png
58,牆,吴昌硕,,,,
59,陽,颜真卿,0.45040,陽,何绍基,/root/Workspace/xy/DiT/data/50k/imgs/020116.png
60,帖,黄庭坚,0.56459,帖,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046110.png
61,条,赵孟頫,0.51890,条,赵之谦,/root/Workspace/xy/DiT/data/50k/imgs/049687.png
62,伊,王宠,0.65136,伊,董其昌,/root/Workspace/xy/DiT/data/50k/imgs/040685.png
63,宗,米芾,0.61994,宗,王铎,/root/Workspace/xy/DiT/data/50k/imgs/038258.png
64,訪,金农,0.56498,訪,虞世南,/root/Workspace/xy/DiT/data/50k/imgs/025459.png
65,良,李邕,0.59750,良,智永,/root/Workspace/xy/DiT/data/50k/imgs/034049.png
66,并,蔡襄,0.66296,并,米芾,/root/Workspace/xy/DiT/data/50k/imgs/039727.png
67,沛,金农,0.73478,沛,林散之,/root/Workspace/xy/DiT/data/50k/imgs/034820.png
68,羽,颜真卿,0.52972,羽,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046239.png
69,宕,何绍基,0.60209,宕,文徵明,/root/Workspace/xy/DiT/data/50k/imgs/033108.png
70,尚,邓石如,0.67263,尚,王羲之,/root/Workspace/xy/DiT/data/50k/imgs/005598.png
71,乃,欧阳通,0.66586,乃,王献之,/root/Workspace/xy/DiT/data/50k/imgs/037043.png
72,壮,郑板桥,0.68118,壮,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/049612.png
73,男,赵孟頫,0.48511,男,倪元璐,/root/Workspace/xy/DiT/data/50k/imgs/030548.png
74,嬢,王铎,,,,
75,嵘,祝允明,0.49883,嵘,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/035874.png
76,窟,邓石如,0.49064,窟,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/014170.png
77,辟,薛稷,0.57634,辟,康里巎巎,/root/Workspace/xy/DiT/data/50k/imgs/032750.png
78,問,苏轼,0.52912,問,何绍基,/root/Workspace/xy/DiT/data/50k/imgs/029853.png
79,兵,赵孟頫,0.62566,兵,林散之,/root/Workspace/xy/DiT/data/50k/imgs/034576.png
80,林,颜真卿,0.61161,林,智永,/root/Workspace/xy/DiT/data/50k/imgs/009875.png
81,濱,米芾,0.54758,濱,沈尹默,/root/Workspace/xy/DiT/data/50k/imgs/024261.png
82,增,赵孟頫,0.57296,增,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/027825.png
83,恐,虞世南,0.52786,恐,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046137.png
84,濑,朱熹,0.52649,濑,董其昌,/root/Workspace/xy/DiT/data/50k/imgs/041135.png
85,湖,赵之谦,0.54934,湖,金农,/root/Workspace/xy/DiT/data/50k/imgs/011592.png
86,恒,褚遂良,0.56929,恒,米芾,/root/Workspace/xy/DiT/data/50k/imgs/039786.png
87,姸,黄庭坚,0.62612,姸,赵佶,/root/Workspace/xy/DiT/data/50k/imgs/022858.png
88,身,金农,0.51755,身,康里巎巎,/root/Workspace/xy/DiT/data/50k/imgs/032748.png
89,优,虞世南,0.62066,优,欧阳询,/root/Workspace/xy/DiT/data/50k/imgs/048899.png
90,竹,李邕,0.70730,竹,鲜于枢,/root/Workspace/xy/DiT/data/50k/imgs/028540.png
91,巳,林散之,0.57792,巳,唐寅,/root/Workspace/xy/DiT/data/50k/imgs/031685.png
92,勝,颜真卿,0.47752,勝,钟繇,/root/Workspace/xy/DiT/data/50k/imgs/046030.png
93,冠,文徵明,0.43548,冠,康里巎巎,/root/Workspace/xy/DiT/data/50k/imgs/048470.png
94,触,金农,0.57835,触,唐玄宗,/root/Workspace/xy/DiT/data/50k/imgs/032376.png
95,比,赵佶,0.62621,比,智永,/root/Workspace/xy/DiT/data/50k/imgs/026725.png
96,起,黄庭坚,0.57898,起,唐玄宗,/root/Workspace/xy/DiT/data/50k/imgs/032394.png
97,晉,金农,0.57753,晉,智永,/root/Workspace/xy/DiT/data/50k/imgs/009222.png
98,絳,王羲之,0.63230,絳,褚遂良,/root/Workspace/xy/DiT/data/50k/imgs/014759.png
99,革,褚遂良,0.66661,革,黄庭坚,/root/Workspace/xy/DiT/data/50k/imgs/020721.png
100,淫,金农,0.53454,淫,王铎,/root/Workspace/xy/DiT/data/50k/imgs/038451.png
