img_id,plan,steps,before_ink,after_ink
57886,denoise,denoise,0.2893,0.2859
57938,denoise,denoise,0.2343,0.2306
58107,denoise,denoise,0.1792,0.1694
58181,denoise,denoise,0.2897,0.2824
53657,denoise,denoise,0.2863,0.2803
256411,denoise,denoise,0.2072,0.2034
256484,crop,crop_t0b0l18r18+denoise,0.3195,0.1737
54044,denoise,denoise,0.2016,0.1950
54077,denoise,denoise,0.2139,0.1903
256664,crop,crop_t0b0l49r48+denoise,0.4638,0.0835
54252,crop,crop_t25b26l0r0+denoise,0.2553,0.0561
54254,crop,crop_t0b0l30r31+denoise,0.3342,0.0946
54420,denoise,denoise,0.2244,0.2163
54432,denoise,denoise,0.1399,0.1366
54480,denoise,denoise,0.4218,0.4122
54610,denoise,denoise,0.1996,0.1923
55792,crop,crop_t41b40l0r0+denoise,0.4528,0.1361
56769,crop,crop_t37b37l0r0+denoise,0.4129,0.1234
56648,denoise,denoise,0.2611,0.2573
57160,denoise,denoise,0.2739,0.2659
258310,crop,crop_t0b0l17r17+denoise,0.3054,0.1721
58413,denoise,denoise,0.2627,0.2583
258377,denoise,denoise,0.2714,0.2604
258411,denoise,denoise,0.2723,0.2679
58933,invert,invert+denoise,0.7222,0.2755
59761,denoise,denoise,0.1787,0.1660
60161,denoise,denoise,0.1685,0.1646
60629,invert,invert+denoise,0.6644,0.3344
60773,denoise,denoise,0.3564,0.3503
60879,denoise,denoise,0.2449,0.2389
60359,denoise,denoise,0.3067,0.2966
60470,invert,invert+denoise,0.7716,0.2283
60555,invert,invert,0.5738,0.4262
60597,denoise,denoise,0.1362,0.1317
60999,denoise,denoise,0.2630,0.2453
61084,invert,invert+denoise,0.7504,0.2489
259644,denoise,denoise,0.1120,0.1100
61477,crop,crop_t0b0l36r36+denoise,0.4616,0.1797
259656,crop,crop_t0b0l36r34+denoise,0.4530,0.1794
61530,invert,invert+denoise,0.6563,0.3430
61675,denoise,denoise,0.1937,0.1874
62119,denoise,denoise,0.2299,0.2227
62201,denoise,denoise,0.1929,0.1840
62581,invert,invert+denoise,0.6127,0.3863
66918,denoise,denoise,0.1802,0.1743
67173,denoise,denoise,0.2301,0.2242
67739,denoise,denoise,0.2366,0.2311
67884,denoise,denoise,0.3946,0.3825
68361,denoise,denoise,0.1514,0.1438
68437,denoise,denoise,0.4424,0.4331
68606,invert,invert+denoise,0.5907,0.4085
68798,denoise,denoise,0.0978,0.0935
64411,invert,invert+denoise,0.6398,0.3599
64649,invert,invert+denoise,0.6749,0.3246
260978,crop,crop_t0b0l27r25+denoise,0.4028,0.1993
64133,denoise,denoise,0.3277,0.3181
64179,denoise,denoise,0.2371,0.2250
64246,crop,crop_t0b0l0r12+denoise,0.2892,0.2410
64339,denoise,denoise,0.2512,0.2436
64871,invert,invert+denoise,0.7226,0.2772
62910,denoise,denoise,0.1682,0.1652
62920,denoise,denoise,0.1776,0.1727
63016,invert,invert,0.7547,0.2453
63083,denoise,denoise,0.0950,0.0919
260348,crop,crop_t26b25l0r0+denoise,0.3177,0.1182
63845,invert,invert,0.7649,0.2351
63900,denoise,denoise,0.4122,0.3823
64343,denoise,denoise,0.1772,0.1707
72466,denoise,denoise,0.1806,0.1745
72489,crop,crop_t0b0l26r27+denoise,0.3910,0.1833
72988,denoise,denoise,0.1977,0.1917
73013,denoise,denoise,0.1995,0.1910
73029,denoise,denoise,0.1842,0.1765
264428,denoise,denoise,0.1833,0.1767
